MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
 , , , , ,3.84288,0.000275,0.003919,4.85658, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
64, ,1,0,8516500,3.87776,0.000268,0.003851,4.88926, ,3.80742,0.000265,0.003665,4.88926,4.647592, ,3.96852,0.000282,0.004087,4.97966,4.167102, ,3.863232,0.00027,0.003795,4.875633,4.488044
 , , , , ,3.82567,0.00027,0.003667,4.83683, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86394,0.000267,0.004087,4.87629, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82198,0.000265,0.003789,4.8387, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84318,0.000275,0.003828,4.85464, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85352,0.00027,0.003803,4.86535, , , , , , , , , , , , , , , , , ,
 , , , , ,3.87833,0.000274,0.003704,4.89221, , , , , , , , , , , , , , , , , ,
 , , , , ,3.91009,0.00027,0.003718,4.92148, , , , , , , , , , , , , , , , , ,
 , , , , ,3.96852,0.000266,0.003747,4.97966, , , , , , , , , , , , , , , , , ,
 , , , , ,3.89146,0.000265,0.003885,4.90305, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82185,0.000277,0.003887,4.83384, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82502,0.000278,0.003665,4.83614, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85012,0.000282,0.003866,4.86227, , , , , , , , , , , , , , , , , ,
 , , , , ,3.80742,0.000267,0.003967,4.8199, , , , , , , , , , , , , , , , , ,
 , , , , ,3.87254,0.000269,0.00388,4.88659, , , , , , , , , , , , , , , , , ,
 , , , , ,3.92778,0.000266,0.003746,4.93989, , , , , , , , , , , , , , , , , ,
 , , , , ,3.90339,0.000265,0.003672,4.91688, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82351,0.000265,0.003786,4.83749, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8319,0.000267,0.003691,4.8439, , , , , , , , , , , , , , , , , ,
 , , , , ,3.91452,0.000269,0.003719,4.92576, , , , , , , , , , , , , , , , , ,
